lane,label,source_type,url,download_path,retrieved_on,download_status,repo_head,content_type
go,pgx repo,selected_repo,https://github.com/jackc/pgx,docs/reference/best_in_class_driver_research_2026-04-03/go/downloads/02_pgx_repo.html,2026-04-03,downloaded,refs/heads/master 08c9bb1f0d8fa6cc10ed8c713e68b1baa64dfe2c,text/html
go,go-sql-driver/mysql repo,candidate_repo,https://github.com/go-sql-driver/mysql,docs/reference/best_in_class_driver_research_2026-04-03/go/downloads/03_go-sql-driver_mysql_repo.html,2026-04-03,downloaded,refs/heads/master fed2c72bc5183941d1907934a52d7fbf513b2ced,text/html
go,go-mssqldb repo,candidate_repo,https://github.com/microsoft/go-mssqldb,docs/reference/best_in_class_driver_research_2026-04-03/go/downloads/04_go-mssqldb_repo.html,2026-04-03,downloaded,refs/heads/main 17636aa5108e0c334caaf2008813e4860188dc5b,text/html
hibernate,Hibernate dialect docs,selected_docs,https://docs.jboss.org/hibernate/orm/current/dialect/dialect.html,docs/reference/best_in_class_driver_research_2026-04-03/hibernate/downloads/01_Hibernate_dialect_docs.html,2026-04-03,downloaded,,text/html
hibernate,Hibernate ORM repo,selected_repo,https://github.com/hibernate/hibernate-orm,docs/reference/best_in_class_driver_research_2026-04-03/hibernate/downloads/02_Hibernate_ORM_repo.html,2026-04-03,downloaded,refs/heads/main b6a7117ad17f2032093581bb934b6e8b5050182f,text/html
hibernate,Hibernate user guide,candidate_docs,https://docs.jboss.org/hibernate/orm/current/userguide/html_single/Hibernate_User_Guide.html,docs/reference/best_in_class_driver_research_2026-04-03/hibernate/downloads/03_Hibernate_user_guide.html,2026-04-03,downloaded,,text/html
jdbc,pgjdbc docs,selected_docs,https://jdbc.postgresql.org/documentation/,docs/reference/best_in_class_driver_research_2026-04-03/jdbc/downloads/01_pgjdbc_docs.html,2026-04-03,downloaded,,text/html
jdbc,pgjdbc repo,selected_repo,https://github.com/pgjdbc/pgjdbc,docs/reference/best_in_class_driver_research_2026-04-03/jdbc/downloads/02_pgjdbc_repo.html,2026-04-03,downloaded,refs/heads/master 99f6c0ebebe17a4788602e39d65010cbab0ca658,text/html
jdbc,Connector/J repo,candidate_repo,https://github.com/mysql/mysql-connector-j,docs/reference/best_in_class_driver_research_2026-04-03/jdbc/downloads/03_Connector_J_repo.html,2026-04-03,downloaded,refs/heads/release/9.x fdef61f4af21fa9e0ac334ff0664ec754c164cc0,text/html
jdbc,Microsoft JDBC docs,candidate_docs,https://learn.microsoft.com/en-us/sql/connect/jdbc/overview-of-the-jdbc-driver?view=sql-server-ver17,docs/reference/best_in_class_driver_research_2026-04-03/jdbc/downloads/04_Microsoft_JDBC_docs.html,2026-04-03,downloaded,,text/html
